Filename,symmetry_index,aspect_ratio,pixel_ratio,Red Min,Red Max,Red Mean,Green Min,Green Max,Green Mean,Blue Min,Blue Max,Blue Mean,Red Median,Red Std Dev,Green Median,Green Std Dev,Blue Median,Blue Std Dev,Blue Entropy,Green Entropy,Red Entropy,Area-Perimeter Ratio,Contour Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
1,66.64550436689797,0.8369826410720307,0.007428041666666667,5,208,68.08574489687165,3,199,54.88274724719952,1,193,39.89286415473246,56.0,47.955398851745045,37.0,45.31119677847598,24.0,36.25074695745675,6.47609,6.9447875,7.2400455,24.048238382527586,7396.986721873283,0.6889783167792382,3.5459273944178573,3.367619755097936,4.927408059478608,9.069141546649327,-6.874668540292728,9.322314250753733
2,66.64550436689797,0.6854201771569693,0.008553,2,248,63.786497914961615,2,251,52.07965041505904,1,244,35.74698836279995,55.0,42.153507582366785,34.0,42.86612366914757,19.0,34.61711714803009,6.3368015,6.7796173,7.06175,25.26699612068053,8095.916864156723,0.6302567607522116,2.6045800780461206,2.410479969421572,3.6401050896982405,-7.068447316478671,4.943744351398646,6.701985717416525
3,66.64550436689797,0.8074667161680367,0.022093125,3,255,107.17633313530793,2,255,87.79487547007548,1,255,65.01694298814107,114.0,58.77135873718156,86.0,60.05760424323768,52.0,54.823595689308156,7.297956,7.555668,7.691217,44.954050834657,11725.595140218735,0.6832299776101836,4.422659548384705,2.5362009104671386,4.141483414966025,7.479600368083644,6.361746211888531,-8.740402024688404
4,66.64550436689797,0.7124551343638821,0.013187375,5,219,87.58824254258334,3,213,71.03185180270272,1,201,50.4451263834548,88.0,46.32258744701816,61.0,46.08575993578402,36.0,37.445620697219006,6.782822,7.0726194,7.123428,31.289472125086714,10101.06526362896,0.6666016787653196,2.1963482405227643,3.777917194331809,4.505277769860811,-9.09397091553693,6.380032393044456,8.64942481653494
5,66.64550436689797,0.7500184981749349,0.009164625,6,255,123.1770030597724,1,250,100.89842236872016,1,245,80.98114675060039,134.0,62.355944159380286,91.0,63.029354606891445,63.0,60.62496157686189,7.383201,7.531218,7.651067,28.57167941383333,7627.62303340435,0.5983128616879989,2.3322392840722337,2.264125666359857,3.114500960220604,5.888996396446667,5.928306375218582,-6.0480994975377005
6,66.64550436689797,0.9470990979107503,0.005916833333333333,7,201,100.47562040505902,4,199,84.3832779358328,1,204,68.36673168876713,109.0,49.63504030114972,78.0,51.36793580317763,55.0,48.982371333055475,7.175916,7.279962,7.3353653,27.16491541264824,5174.744624257088,0.6415951156687627,2.0494261303660815,2.499617810861769,3.388157978223532,6.3329874160374615,4.452916561486255,7.492144874037288
7,66.64550436689797,0.4603287618443225,0.00565875,11,238,91.57896325749209,9,234,72.75433325970106,4,223,50.997989838745305,87.0,41.37874968559628,70.0,36.76008197680118,42.0,34.73129526181651,6.6722713,7.05097,7.3228636,28.705272996507826,4728.295042395592,0.6219497933227024,1.5777309437873197,4.087757961208045,4.721664795298506,9.85710096258348,-5.773445120852047,-9.072373425343345
8,66.64550436689797,0.5978617999979519,0.007454083333333333,4,168,55.60429406701025,4,171,43.240164786638196,3,183,36.929926550324765,47.0,35.66732309580311,31.0,35.56519093882558,24.0,37.34231347870392,6.225748,6.4589543,6.81497,30.57569385723643,5815.436301469803,0.5855967930342708,1.5869133536743774,2.9864570179742818,3.634305810783682,-6.969927613409995,-4.508137619641228,7.420111432450918
9,66.64550436689797,0.9474276191570501,0.0071994166666666665,6,255,87.62007338557522,3,255,71.39061613788154,1,254,68.25644780404232,93.0,52.732799317952306,64.0,51.894715129430246,57.0,54.63180011861349,6.929246,6.960728,7.3466887,27.993465020963427,6172.58348941803,0.616610209298387,2.8614172948484455,1.9706069953900225,3.8076838701707936,-6.785897993278884,5.404229850839413,-6.932465161650712
10,66.64550436689797,0.7968611165062142,0.015783458333333333,4,255,82.97670029012441,1,255,63.63558747046478,1,255,60.463047422364596,80.0,52.421580903076965,48.0,48.94095558910766,45.0,50.82663964478578,6.973985,6.968501,7.3461246,46.01915275009122,8185.048561096191,0.671124273916934,3.136280087603541,2.6255099759490443,5.328335856696392,9.27931947553721,-7.059416632137786,9.45224334686773
