                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6956,                0.36923,                0.98462,                 1.7445,             0.00014994,             0.00014994,             0.00014994
                      2,                 1.4016,                0.46154,                      1,                 1.6897,             0.00029942,             0.00029942,             0.00029942
                      3,                 1.0033,                0.61538,                      1,                 1.5474,             0.00044113,             0.00044113,             0.00044113
                      4,                0.67384,                    0.8,                      1,                    1.3,             0.00057506,             0.00057506,             0.00057506
                      5,                0.45391,                0.84615,                      1,                 1.3047,             0.00064331,             0.00064331,             0.00064331
                      6,                0.27213,                0.83077,                      1,                  1.394,             0.00062564,             0.00062564,             0.00062564
                      7,                0.29915,                0.81538,                      1,                 1.1902,             0.00060797,             0.00060797,             0.00060797
                      8,                0.21325,                0.87692,                      1,                  1.179,              0.0005903,              0.0005903,              0.0005903
                      9,                0.11815,                0.92308,                      1,                 1.2311,             0.00057263,             0.00057263,             0.00057263
                     10,                0.19097,                    0.8,                      1,                 1.2105,             0.00055496,             0.00055496,             0.00055496
                     11,                0.19119,                0.92308,                      1,                 1.3154,             0.00053728,             0.00053728,             0.00053728
                     12,                0.10749,                0.92308,                      1,                 1.1502,             0.00051961,             0.00051961,             0.00051961
                     13,                0.16607,                0.89231,                      1,                 1.1717,             0.00050194,             0.00050194,             0.00050194
                     14,                0.11529,                0.84615,                      1,                 1.1588,             0.00048427,             0.00048427,             0.00048427
                     15,                0.07598,                0.89231,                      1,                 1.1532,              0.0004666,              0.0004666,              0.0004666
                     16,                0.18793,                0.90769,                      1,                 1.1273,             0.00044893,             0.00044893,             0.00044893
                     17,                0.05851,                0.92308,                      1,                 1.2412,             0.00043126,             0.00043126,             0.00043126
                     18,                0.15951,                0.90769,                      1,                 1.1227,             0.00041358,             0.00041358,             0.00041358
                     19,                 0.0677,                0.93846,                      1,                 1.1218,             0.00039591,             0.00039591,             0.00039591
                     20,                0.09088,                0.90769,                      1,                 1.1517,             0.00037824,             0.00037824,             0.00037824
                     21,                0.06355,                0.95385,                      1,                 1.1319,             0.00036057,             0.00036057,             0.00036057
                     22,                0.11238,                0.93846,                      1,                 1.1216,              0.0003429,              0.0003429,              0.0003429
                     23,                0.09824,                0.93846,                      1,                 1.1218,             0.00032523,             0.00032523,             0.00032523
                     24,                0.12764,                0.92308,                      1,                 1.1707,             0.00030756,             0.00030756,             0.00030756
                     25,                0.09424,                0.90769,                      1,                 1.1326,             0.00028988,             0.00028988,             0.00028988
                     26,                0.05015,                0.87692,                      1,                 1.1404,             0.00027221,             0.00027221,             0.00027221
                     27,                0.07585,                0.92308,                      1,                 1.1238,             0.00025454,             0.00025454,             0.00025454
                     28,                0.13178,                0.89231,                      1,                 1.1762,             0.00023687,             0.00023687,             0.00023687
                     29,                0.11257,                0.90769,                      1,                  1.288,              0.0002192,              0.0002192,              0.0002192
                     30,                0.14814,                0.90769,                      1,                 1.4312,             0.00020153,             0.00020153,             0.00020153
                     31,                0.04974,                0.90769,                      1,                 1.4346,             0.00018385,             0.00018385,             0.00018385
                     32,                0.10115,                0.89231,                      1,                  1.145,             0.00016618,             0.00016618,             0.00016618
                     33,                 0.0708,                0.90769,                      1,                 1.1279,             0.00014851,             0.00014851,             0.00014851
                     34,                0.10288,                0.89231,                      1,                 1.1267,             0.00013084,             0.00013084,             0.00013084
                     35,                0.07322,                0.90769,                      1,                 1.1252,             0.00011317,             0.00011317,             0.00011317
                     36,                0.05705,                0.89231,                      1,                 1.1268,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     37,                0.05299,                0.92308,                      1,                 1.1456,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     38,                0.07776,                0.92308,                      1,                 1.1966,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     39,                0.06095,                0.92308,                      1,                 1.2749,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     40,                0.07417,                0.92308,                      1,                 1.1417,             2.4812e-05,             2.4812e-05,             2.4812e-05
